Country,Cardio_deaths_tot,Resp_deaths_tot,Cardio_deaths_perCap,Resp_deaths_perCap,Resp_plus_Card_VSL
Afghanistan,523.7876689,304.9177492,57.31267777,33.36400176,57.53982732
Albania,71.47866913,21.59446134,41.66069398,12.58613593,65.36674889
Algeria,548.7912574,230.5117191,30.38670564,12.76349005,427.427985
Andorra,0,0,0,0,0
Angola,85.66201751,155.1315862,11.60536949,21.01700883,110.1686144
Antigua+Barbuda,0.912489364,0.97505931,17.92428231,19.15336116,0
Argentina,382.6690778,851.7455921,17.20089003,38.28577514,1922.50555
Armenia,86.07000417,40.54405771,52.27468299,24.62446452,71.0877013
Australia,203.2366425,277.7302604,14.10421374,19.27392082,3678.280136
Austria,152.2206411,94.85473765,25.93934137,16.16383562,1694.855203
Azerbaijan,250.4031353,71.24885098,51.51996081,14.65931329,202.4200244
Bahamas,5.497337144,4.874137777,26.25907401,23.28224398,0
Bahrain,6.164316341,3.993185181,8.436064021,5.464801605,32.56360724
Bangladesh,1215.040628,1112.510226,17.8740039,16.36571787,526.8911781
Barbados,4.053020127,5.356759105,23.21131254,30.67771831,22.51351757
Belarus,392.0694069,62.44605452,64.14692525,10.21687059,381.0762794
Belgium,180.9124842,302.9163241,24.69157913,41.34309702,3064.591145
Belize,1.386898065,2.291428161,10.13318086,16.74200619,2.395017901
Benin,36.9222786,81.8229512,11.82164335,26.19778041,14.26986589
Bhutan,4.586741341,7.44834879,13.80425961,22.41655518,5.390635523
Bolivia,46.72127318,96.41741179,10.89621063,22.48621144,67.7063991
Bosnia+Herzegovina,118.4195817,40.56729251,51.32899379,17.58390188,128.5455646
Botswana,9.991620604,18.51366368,11.54416006,21.39039353,31.37984917
Brazil,1267.772052,2142.856382,11.79394184,19.93475365,4055.582298
Brunei Darussalam,1.16503495,1.822565205,5.581032484,8.730893106,12.59550459
Bulgaria,349.63281,99.8468535,70.13327281,20.02840241,555.5585011
Burkina Faso,60.70402714,113.8349698,12.44058878,23.32916144,16.6375747
Burundi,34.39805939,74.88650723,12.45639,27.11826062,3.958662723
Cambodia,79.65588221,129.3013322,12.97069559,21.05466882,42.06729587
Cameroon,66.63508848,168.2885748,10.08084308,25.45942015,48.02816208
Canada,379.7360756,475.4470907,16.40763582,20.54311723,5270.210641
Cape Verde,4.094446647,5.811193156,20.39717164,28.94943187,0
Central African Rep.,24.48160303,40.99742076,18.81916187,31.5149746,4.152136278
Chad,57.94224875,121.2582198,16.67913535,34.90513924,17.39770992
Chile,129.9706955,212.6136894,13.16296903,21.53275705,727.1417743
China,20709.8199,19099.11167,24.7100582,22.78823105,51847.71135
Colombia,131.9018673,182.5212735,5.460986988,7.556726225,279.4559192
Comoros,3.310396567,6.00085483,13.48221687,24.43961762,1.756557008
Congo,18.59666823,33.06086657,11.55934845,20.55002929,14.78897902
Cook Islands,0,0,0,0,0
Costa Rica,25.58420637,30.84535822,10.1873667,12.28230303,90.46780939
Croatia,132.997308,55.19543392,46.66069585,19.36473296,374.0144907
Cuba,228.6836888,251.3773479,31.21659897,34.31441001,564.5097518
Cyprus,15.09661939,14.42043431,22.39027331,21.38740185,110.7928511
Czech Republic,276.1544406,156.605302,38.2058073,21.66625304,1331.289992
