Country,PopTimesBaseMort,InitialMort
Afghanistan,11237.56834,3274.981002
Albania,991.8386864,198.0445721
Algeria,8629.599045,1905.013268
Andorra,0,0
Angola,9520.639559,1743.529085
Antigua+Barbuda,37.39445045,1.941061692
Argentina,51079.6178,2424.329973
Armenia,1671.729453,373.7540927
Australia,14496.08577,510.7020037
Austria,4355.044977,679.7902456
Azerbaijan,3071.117012,570.8379447
Bahamas,161.8106629,27.03513419
Bahrain,149.1753817,59.65560353
Bangladesh,85630.95901,31927.32308
Barbados,223.3235117,5.710714063
Belarus,3027.251336,331.0263465
Belgium,12451.25873,1515.077858
Belize,109.6025045,8.982841224
Benin,5180.477039,851.1984329
Bhutan,467.9851093,157.8913042
Bolivia,7653.485978,204.0459633
Bosnia+Herzegovina,1879.645853,303.5012653
Botswana,975.5424152,140.7886282
Brazil,129927.5131,12049.37237
Brunei Darussalam,158.6614221,4.195494688
Bulgaria,4693.958335,740.4186212
Burkina Faso,6274.608907,695.0885797
Burundi,4870.638999,730.9830267
Cambodia,8584.339962,1471.794118
Cameroon,12586.70143,1349.785183
Canada,24421.70399,3628.244001
Cape Verde,214.2230287,24.263505
Central African Rep.,3515.42714,654.9158782
Chad,6079.597039,927.077662
Chile,9804.450696,746.2962817
China,1001006.831,252656.1171
Colombia,15421.33923,459.5606395
Comoros,291.5871974,6.528965278
Congo,2754.678719,252.0173085
Cook Islands,0,0
Costa Rica,1720.134959,75.09134817
Croatia,2578.66815,421.6842696
Cuba,10157.39544,1352.757995
Cyprus,568.6373906,132.6868841
Czech Republic,7058.017817,970.9187843
Cote dIvoire,10499.82767,1117.161556
Dem.Peo.Rep.of Korea,42704.2819,9790.692213
Dem.Rep.of the Congo,36420.39295,6810.269865
Denmark,6477.485285,746.8332812
Djibouti,419.1078562,63.66469271
Dominica,0,0
Dominican Republic,3336.710994,378.2085459
Ecuador,6644.128789,275.9522683
Egypt,35222.27407,9332.475191
El Salvador,3658.174834,504.4741265
Equatorial Guinea,390.712814,19.88220979
Eritrea,3034.009858,546.1057759
Estonia,507.2965738,47.5253425
Ethiopia,35853.14797,4555.921405
Fiji,595.0525801,0
Finland,2256.946036,201.8812278
France,40198.34085,5998.828784
Gabon,1015.621569,33.50451565
Gambia,799.3391385,95.48472424
Georgia,2697.232706,518.4802592
Germany,70296.93933,9188.522475
Ghana,15602.8235,2317.430772
Greece,10158.52976,2159.141952
Grenada,59.1221145,2.010308326
Guatemala,6615.077798,1095.17517
Guinea,7166.133032,968.6415404
Guinea-Bissau,1066.358912,136.352937
Guyana,287.0750498,0
Haiti,5822.325506,797.3189737
Honduras,2430.817862,196.2746929
Hungary,6741.266241,909.8728693
Iceland,189.6511975,22.02657602
India,1443151.431,546586.9244
Indonesia,113665.4512,27578.55315
Isl.Rep.of Iran,17659.04766,5197.656253
Iraq,2368.537753,722.2828
Ireland,3320.271595,449.5807766
Israel,3912.900042,1039.895153
Italy,42951.23614,9045.077024
Jamaica,1218.506606,182.2193249
Japan,147172.0968,35083.38981
Jordan,1117.395116,320.846264
Kazakhstan,8706.010794,1454.101026
Kenya,17710.5107,1486.943744
Kiribati,85.94274127,0
Kuwait,367.594813,125.2897166
Kyrgyzstan,1532.194904,394.5129688
Lao Peo.Dem.Rep.,3346.397146,634.0013835
Latvia,803.281216,78.80075525
Lebanon,1794.434047,484.3432864
Lesotho,2347.780845,389.3847761
Liberia,1632.454429,177.663061
Libyan Arab Jamahiriya,1575.204297,341.0671162
Lithuania,1471.06051,153.3943549
Luxembourg,369.938663,47.24488875
Madagascar,13705.25253,120.4724581
Malawi,6259.321142,602.4705253
Malaysia,26703.30745,5771.907051
Maldives,102.086682,7.495861117
Mali,5165.976086,514.2677201
Malta,281.7529803,69.34956964
Marshall Islands,nan,nan
Mauritania,1487.195804,143.7541461
Mauritius,732.2828175,3.809470869
Mexico,49437.01674,10255.11914
Fed.Sts.of Micronesia,65.42248452,0
Monaco,0,0
Mongolia,436.7209871,86.55465222
Morocco+W.Sahara,11240.09548,2340.916789
Mozambique,12597.02269,854.2315777
Myanmar,60948.42548,10316.41412
Namibia,1136.527115,189.7885462
Nauru,nan,nan
Nepal,25963.17451,10153.51055
Netherlands,15588.21356,1858.264636
New Zealand,2796.590089,0
