Country,kt
Afghanistan,0.96
Albania,0
Algeria,0
Andorra,0
Angola,26.55
Antigua+Barbuda,0
Argentina,7.63
Armenia,0
Australia,9.91
Austria,0
Azerbaijan,0.1
Bahamas,0
Bahrain,0
Bangladesh,359.57
Barbados,0
Belarus,0
Belgium,0
Belize,0.04
Benin,0.11
Bhutan,3.06
Bolivia,1.19
Bosnia+Herzegovina,0
Botswana,0
Brazil,38.03
Brunei Darussalam,0.01
Bulgaria,0.07
Burkina Faso,1.15
Burundi,0.08
Cambodia,8.26
Cameroon,2.06
Canada,0
Cape Verde,0
Central African Rep.,0.1
Chad,0.53
Chile,0.14
China,1251.63
Colombia,4.32
Comoros,0
Congo,8.8
Cook Islands,0
Costa Rica,0.07
Croatia,0
Cuba,0.57
Cyprus,0
Czech Republic,0
Cote dIvoire,0.61
Dem.Peo.Rep.of Korea,14.87
Dem.Rep.of the Congo,10.39
Denmark,0
Djibouti,0
Dominica,0
Dominican Republic,0.73
Ecuador,2.4
Egypt,52.58
El Salvador,0.01
Equatorial Guinea,0.18
Eritrea,0
Estonia,0
Ethiopia,0
Fiji,0
Finland,0
France,0
Gabon,9.57
Gambia,0.02
Georgia,0
Germany,0
Ghana,0.55
Greece,0.27
Grenada,0
Guatemala,0.08
Guinea,1.55
Guinea-Bissau,0.1
Guyana,0.71
Haiti,0.61
Honduras,0.43
Hungary,0
Iceland,0
India,1431.5
Indonesia,173.35
Isl.Rep.of Iran,14.04
Iraq,0.35
Ireland,0
Israel,0
Italy,5.41
Jamaica,0
Japan,71
Jordan,0
Kazakhstan,1.02
Kenya,0.16
Kiribati,0
Kuwait,0
Kyrgyzstan,0.03
Lao Peo.Dem.Rep.,4.3
Latvia,0
Lebanon,0
Lesotho,0
Liberia,0.08
Libyan Arab Jamahiriya,0
Lithuania,0
Luxembourg,0
Madagascar,8.19
Malawi,0.37
Malaysia,2.21
Maldives,0
Mali,3.5
Malta,0
Marshall Islands,0
Mauritania,0.32
Mauritius,0
Mexico,1.32
Fed.Sts.of Micronesia,0
Monaco,0
Mongolia,0
Morocco+W.Sahara,0
Mozambique,0.74
Myanmar,119.15
Namibia,0
Nauru,0
Nepal,52.7
Netherlands,0
New Zealand,0
Nicaragua,0.07
Niger,0.26
Nigeria,6.18
Niue,0
Norway,0
Oman,0
Pakistan,71.49
Palau,0
Panama,0.16
Papua New Guinea,0
Paraguay,10.16
Peru,5.36
Philippines,37.77
Poland,0
Portugal,0.08
Qatar,0
Rep.of Korea,60.88
Rep.of Moldova,0
Romania,0
Russian Fed.,1.57
Rwanda,0.05
St.Kitts+Nevis,0
St.Lucia,0
St.Vincent+Grenadines,0
Samoa,0
San Marino,0
Sao Tome+Principe,0
Saudi Arabia,0
Senegal,0.63
Serbia+Montenegro,0
Seychelles,0
Sierra Leone,0.1
Singapore,0
Slovakia,0
Slovenia,0
Solomon Islands,0
Somalia,0
South Africa,0
Spain,2.61
Sri Lanka,12.97
Sudan,0.01
Suriname,0.65
Swaziland,0
Sweden,0
Switzerland,0.01
Syrian Arab Rep.,0
Tajikistan,0.13
Thailand,102.02
Fmr.Yugoslav Rep.of Macedonia,0
Timor-Leste,0.04
Togo,0.09
Tonga,0
Trinidad+Tobago,0
Tunisia,0
Turkey,0.7
Turkmenistan,0.47
Tuvalu,0
Uganda,0.27
Ukraine,0
United Arab Emirates,0
United Kingdom,0
United Rep.of Tanzania,1.44
United Sts.of America,84.57
Uruguay,9.66
Uzbekistan,0.05
Vanuatu,0
Boliv.Rep.of Venezuela,2.48
Viet Nam,74.67
Yemen,0
Zambia,0.61
Zimbabwe,3.1
PuertoRico_VirginIslands,11.38
